"Year","Category","MeanFit","CI_lo","CI_up"
1992,"Cow-calf pairs",25.7777808030068,-37.5287726538802,81.0402628459959
1992,"Unaccompanied",53.4676559923798,-40.4824852823767,135.322495299979
1993,"Cow-calf pairs",28.9769597126378,-28.1647815353309,81.9750255439759
1993,"Unaccompanied",60.2552665611895,-22.2834776446955,134.666328278073
1994,"Cow-calf pairs",33.1072900152269,-17.6104925834674,83.8403115050207
1994,"Unaccompanied",67.3747987439166,-4.42147539757795,136.522558293877
1995,"Cow-calf pairs",40.1221710969328,-6.68250269072607,86.9392176452353
1995,"Unaccompanied",76.5976236096809,12.4225781327962,140.785450882299
1996,"Cow-calf pairs",48.0214747874435,4.43803337570662,91.6141600919752
1996,"Unaccompanied",87.9660945651733,28.4170071118078,147.52449907098
1997,"Cow-calf pairs",56.9504812750694,15.6598316668414,98.2470575967975
1997,"Unaccompanied",100.326448564058,43.720364719098,156.938019170053
1998,"Cow-calf pairs",66.6599557704082,26.468838421838,106.853678288846
1998,"Unaccompanied",113.29214529743,57.8892741452362,168.696839014494
1999,"Cow-calf pairs",77.078984783494,36.9684369000727,117.188967390661
1999,"Unaccompanied",126.74094240685,71.3032802224964,182.177190760607
2000,"Cow-calf pairs",87.8640445155813,47.4752061784615,128.249651533664
2000,"Unaccompanied",140.21727007147,84.4792868915606,195.951102548534
2001,"Cow-calf pairs",99.1749457222038,58.9103172292837,139.434366203411
2001,"Unaccompanied",153.897295669698,98.5473425245194,209.240719848791
2002,"Cow-calf pairs",111.145067512263,71.7337569571378,150.549861292179
2002,"Unaccompanied",167.885324089141,113.97929664754,221.782680729442
2003,"Cow-calf pairs",123.32534452522,85.4136903671383,161.229809048391
2003,"Unaccompanied",181.580379008584,130.015742151534,233.134443064432
2004,"Cow-calf pairs",135.53398144956,99.4604099898742,171.600224610491
2004,"Unaccompanied",194.711991927155,145.948881124105,243.462823043583
2005,"Cow-calf pairs",147.306610995511,112.94906619753,181.657101204509
2005,"Unaccompanied",206.732906850039,160.585647018499,252.866397728909
2006,"Cow-calf pairs",158.761344147418,125.616942532129,191.899253627087
2006,"Unaccompanied",217.699037139889,173.453915642888,261.929152167871
2007,"Cow-calf pairs",169.99303112092,137.237142255932,202.743162262381
2007,"Unaccompanied",227.589117321152,184.074011491417,271.08841961721
2008,"Cow-calf pairs",180.534553299484,147.17892150189,213.885200228839
2008,"Unaccompanied",235.84676367825,191.633809496655,280.043846332894
2009,"Cow-calf pairs",190.204115501731,155.430833718947,224.973157489002
2009,"Unaccompanied",242.201507932313,196.088802636931,288.29901261127
2010,"Cow-calf pairs",198.819922724653,162.22049513166,235.415807337832
2010,"Unaccompanied",246.382880631067,197.747382215072,295.004292436515
2011,"Cow-calf pairs",206.045683653597,167.756945574178,244.331488153623
2011,"Unaccompanied",248.12000322286,197.114911759301,299.112203976354
2012,"Cow-calf pairs",211.914709043408,172.498300890318,251.328671767093
2012,"Unaccompanied",247.256912465795,194.636904832615,299.865143778057
2013,"Cow-calf pairs",216.42173982414,176.751392916695,256.089965489092
2013,"Unaccompanied",243.547490128784,190.50429465406,296.579891626641
2014,"Cow-calf pairs",219.469344425851,180.447194312052,258.489513658801
2014,"Unaccompanied",237.111613777366,184.884636619543,289.328631122015
2015,"Cow-calf pairs",221.190539747392,183.481581024742,258.897485809031
2015,"Unaccompanied",228.197960487215,177.708610375523,278.678068124922
2016,"Cow-calf pairs",221.723600113128,185.56523725007,257.879758267716
2016,"Unaccompanied",217.353614964942,168.946377580549,265.752243372683
2017,"Cow-calf pairs",221.23662745303,186.378230176113,256.09245147915
2017,"Unaccompanied",204.603814411526,157.961711661044,251.237982322843
2018,"Cow-calf pairs",219.823087035102,185.389886462466,254.25311422221
2018,"Unaccompanied",189.834372872082,143.792774689801,235.868979291932
2019,"Cow-calf pairs",217.612425041969,182.050745725403,253.170067272564
2019,"Unaccompanied",173.575884820874,126.04334193556,221.102870304668
2020,"Cow-calf pairs",214.738557836149,176.119291512481,253.352687784188
2020,"Unaccompanied",156.07851049733,104.446015069141,207.70740027165
2021,"Cow-calf pairs",211.423099349035,167.981758223871,254.858096247942
2021,"Unaccompanied",138.045013715005,79.9203227854442,196.168258691642
2022,"Cow-calf pairs",207.724745670551,157.916397594057,257.525498657588
2022,"Unaccompanied",119.296255889957,52.5852791600603,186.007920695667
2023,"Cow-calf pairs",203.674176013186,146.157069841356,261.182414708472
2023,"Unaccompanied",99.6007628210895,22.4875137957775,176.716719607001
2024,"Cow-calf pairs",200.491973241811,136.546683862426,264.427444888019
2024,"Unaccompanied",84.4152392607468,-1.37370047460564,170.208304698659
