"Year","Segment","SegmentLabel","Category","per_100km"
1987,"esperance-caiguna","Esperance–Caiguna","Cow-calf pairs",1.23805288321743
1987,"esperance-caiguna","Esperance–Caiguna","Unaccompanied",4.7458693856668
1988,"albany-augusta","Augusta–Albany","Cow-calf pairs",0.286233435642621
1988,"albany-augusta","Augusta–Albany","Unaccompanied",0
1988,"albany-esperance","Albany–Esperance","Cow-calf pairs",2.06775805366405
1988,"albany-esperance","Albany–Esperance","Unaccompanied",2.2557360585426
1989,"albany-augusta","Augusta–Albany","Cow-calf pairs",0.858700306927864
1989,"albany-augusta","Augusta–Albany","Unaccompanied",0
1989,"albany-esperance","Albany–Esperance","Cow-calf pairs",0.939890024392749
1989,"albany-esperance","Albany–Esperance","Unaccompanied",1.31584603414985
1989,"esperance-caiguna","Esperance–Caiguna","Cow-calf pairs",2.06342147202904
1989,"esperance-caiguna","Esperance–Caiguna","Unaccompanied",1.23805288321743
1990,"albany-augusta","Augusta–Albany","Cow-calf pairs",0.858700306927864
1990,"albany-augusta","Augusta–Albany","Unaccompanied",5.15220184156718
1990,"albany-esperance","Albany–Esperance","Cow-calf pairs",2.6316920682997
1990,"albany-esperance","Albany–Esperance","Unaccompanied",7.14316418538489
1990,"esperance-caiguna","Esperance–Caiguna","Cow-calf pairs",1.23805288321743
1990,"esperance-caiguna","Esperance–Caiguna","Unaccompanied",5.57123797447842
1991,"albany-augusta","Augusta–Albany","Cow-calf pairs",0
1991,"albany-augusta","Augusta–Albany","Unaccompanied",0.858700306927864
1991,"albany-esperance","Albany–Esperance","Cow-calf pairs",4.1355161073281
1991,"albany-esperance","Albany–Esperance","Unaccompanied",4.51147211708519
1991,"esperance-caiguna","Esperance–Caiguna","Cow-calf pairs",1.23805288321743
1991,"esperance-caiguna","Esperance–Caiguna","Unaccompanied",4.95221153286971
1992,"albany-augusta","Augusta–Albany","Cow-calf pairs",0.572466871285243
1992,"albany-augusta","Augusta–Albany","Unaccompanied",1.14493374257049
1992,"albany-esperance","Albany–Esperance","Cow-calf pairs",1.69180204390695
1992,"albany-esperance","Albany–Esperance","Unaccompanied",5.26338413659939
1992,"esperance-caiguna","Esperance–Caiguna","Cow-calf pairs",2.26976361923195
1992,"esperance-caiguna","Esperance–Caiguna","Unaccompanied",1.03171073601452
1993,"albany-augusta","Augusta–Albany","Cow-calf pairs",0.572466871285243
1993,"albany-augusta","Augusta–Albany","Unaccompanied",1.14493374257049
1993,"albany-esperance","Albany–Esperance","Cow-calf pairs",2.6316920682997
1993,"albany-esperance","Albany–Esperance","Unaccompanied",4.51147211708519
1993,"esperance-caiguna","Esperance–Caiguna","Cow-calf pairs",4.95221153286971
1993,"esperance-caiguna","Esperance–Caiguna","Unaccompanied",2.88879006084066
1994,"albany-augusta","Augusta–Albany","Cow-calf pairs",0.858700306927864
1994,"albany-augusta","Augusta–Albany","Unaccompanied",4.57973497028194
1994,"albany-esperance","Albany–Esperance","Cow-calf pairs",2.81967007317825
1994,"albany-esperance","Albany–Esperance","Unaccompanied",4.51147211708519
1994,"esperance-caiguna","Esperance–Caiguna","Cow-calf pairs",2.06342147202904
1994,"esperance-caiguna","Esperance–Caiguna","Unaccompanied",6.60294871049294
1994,"caiguna-ceduna","Caiguna–Ceduna","Cow-calf pairs",0.337095427955947
1994,"caiguna-ceduna","Caiguna–Ceduna","Unaccompanied",0
1995,"albany-augusta","Augusta–Albany","Cow-calf pairs",0
1995,"albany-augusta","Augusta–Albany","Unaccompanied",2.86233435642621
1995,"albany-esperance","Albany–Esperance","Cow-calf pairs",2.81967007317825
1995,"albany-esperance","Albany–Esperance","Unaccompanied",4.1355161073281
1995,"esperance-caiguna","Esperance–Caiguna","Cow-calf pairs",4.12684294405809
1995,"esperance-caiguna","Esperance–Caiguna","Unaccompanied",12.7932131265801
1995,"caiguna-ceduna","Caiguna–Ceduna","Cow-calf pairs",0.112365142651982
1995,"caiguna-ceduna","Caiguna–Ceduna","Unaccompanied",0.112365142651982
